광물명,화학조성,종류,미량성분,색,벽개,비중,투명도,단구,경도,발광성,광택,자성,조흔색,정계,단위포 크기
자석(磁石),산화 광물,Fe₃O₄(Fe2+Fe3+₂O₄),"FeO 31.03%, Fe₂O₃ 68.97%","Mg, Zn, Mn, Ni, Cr, Ti, V, Al","회흑색(gayish black), 검은색(black)",없음(none),5.1 - 5.2(평균 = 5.15),불투명(opaque),불평탄(uneven),5.5 - 6.5,비형광(non-fluorescent),금속광택(metallic),강자성(naturally strong),검은색(black),등축정계(4/m32/m)
자석영(紫石英),할로겐 광물,CaF₂,"Ca 51.33%, F 48.67%","Y, Ce, Si, Al, Fe, Mg, Eu, Sm","보라색(purple), 노란색(yellow), 초록색(green), 무색(colourless)",{111} 완전(perfect),3.01 - 3.25(평균 = 3.13),"투명(transparent), 반투명(translucent)",불평탄(uneven),4.0,"형광(fluorescent), 장파 UV, 단판 UV = 파란색",유리광택(vitreous),-,흰색(white),등축정계(4/m32/m)
자연동(自然銅),황화 광물,FeS₂,"Fe 46.55%, S 53.45%","Ni, Co, As, Cu, Zn, Ag, Au, Tl, Se, V",옅은 황동색(pale brass yellow),"{100}, {110} 불명료(poor)",5 - 5.02(평균 = 5.01),불투명(opaque),패각상(conchoidal),6 - 6.5,비형광(non-fluorescent),금속광택(metallic),열처리 후 자성,녹흑색(greenish black),등축정계(2/m3)
적석지(赤石脂),규산염 광물,Al₂Si₂O5(OH)₄,"Al₂O₃ 39.50%, SiO₂ 46.55%, H₂O 13.95%","Ti, Ca, Na, K, Fe, Cr, Mg, Ni, Cu","흰색(white), 황백색(yellowish white), 황갈색(tan)",없음(none),2.55 - 2.65(평균 = 2.59),"반투명(translucent), 불투명(opaque)",아패각상(sub-conchoidal),1 - 2,비형광(non-fluorescent),토상광택(earthy),-,흰색(white),단사정계(m)
주사(朱砂),황화 광물,HgS,"Hg 86.22%, S 13.78%",-,"붉은색(tint or shade of red), 주홍색(vermilion)",{1010} 완전(perfect),8.1,"투명(transparent), 반투명(translucent)",불평탄(uneven),2 - 2.5,비형광(non-fluorescent),금속광택(metallic),-,"적갈색(red-brown), 주홍색(scarlet)",삼방정계(32)
한수석(寒水石),탄산염 광물,CaCO₃,"CaO 56.03%, CO₃ 43.97%","Mn, Fe, Zn, Co, Ba, Sr, Pb, Mg, Cu, Al, Ni, V, Cr, Mo","흰색(white), 무색(colorless), 노란색(yellow), 갈색(brown)",{1011} 완전(perfect),2.71,"투명(transparent), 반투명(translucent)",패각상(conchoidal),3.0,"형광(fluorescent), 인광(phosphorescent), 장파 UV, 단파 UV = 노란색, 파란색, 적녹색","유리광택(vitreous), 수지광택(resinous)",-,흰색(white),삼방정계(32/m)
해부석(海浮石),규산염 광물,,"SiO₂ 76.2%, Al₂O₃ 13.5%, K₂O 1.8%, Na₂O 1.6%, Fe₂O₃ 1.2%, CaO 0.8%, TiO₂ 0.2%, MgO 0.05%, H₂O <1.0%",-,"흰색(white), 담황색(light yellow), 담갈색(light brown)",완전(perfect),0.25 - 0.3(평균 = 0.275),불투명(opaque),평탄(even),6.0,-,토상광택(earthy),-,"흰색(white), 녹백색(greenish white)",
호박(琥珀),유기염 광물,C12H20O,"H 11.18%, C 79.94%, O 8.87%",-,"노란색(yellow), 주황색(orange), 갈색(brown)",없음(none),1.05 - .1.15(평균 = 1.1),투명(transparent),패각상(conchoidal),2 - 2.5,형광(fluorescent),수지광택(resinous),-,흰색(white),비정질(amorphous)
백운모(muscovite),"K₂O 11.81%, Al₂O₃ 38.36%, SiO₂ 45.21%, H₂O 4.07%",규산염 광물,"Cr, Li, Fe, V, Mn, Na, Cs, Rb, Ca, Mg, H₂O","흰색(white), 무색(colorless), 은백색(silver white)",{001} 완전(perfect),2.77 - 2.88(평균 = 2.82),"투명(transparent), 반투명(translucent)",운모상(micaceous),2 - 2.5,비형광(non-fluorescent),"유리광택(vitreous), 진주광택(pearly)",-,흰색(white),단사정계(2/m),"a = 5.186 A, b = 8.952 A, c = 10.12 A, Z = 4; V = 459.89 A?ø"
은(silver),Ag 100%,원소 광물,"Au, Hg, Cu, Sb, Si","은백색(silver white), 회백색(gray white), 회색(gray)",없음(none),10 - 11(평균 = 10.5),불투명(opaque),침상(hackly),2.5 - 3,비형광(non-fluorescent),금속광택(metallic),비자성(nonmagnetic),은백색(silver white),등축정계(4/m32/m),"a = 4.0862 A, Z = 4; V = 68.23 A?ø"
자철석(magnetite),"FeO 31.03%, Fe₂O₃ 68.97%",산화 광물,"Mg, Zn, Mn, Ni, Cr, Ti, V, Al","회흑색(gayish black), 검은색(black)",없음(none),5.1 - 5.2(평균 = 5.15),불투명(opaque),불평탄(uneven),5.5 - 6.5,비형광(non-fluorescent),금속광택(metallic),강자성(naturally strong),검은색(black),등축정계(4/m32/m),"a = 8.397 A, Z = 8; V = 592.07 A?ø"
형석(Fluorite),"Ca 51.33%, F 48.67%",할로겐 광물,"Y, Ce, Si, Al, Fe, Mg, Eu, Sm","보라색(purple), 노란색(yellow), 초록색(green), 무색(colourless)",{111} 완전(perfect),3.01 - 3.25(평균 = 3.13),"투명(transparent), 반투명(translucent)",불평탄(uneven),4.0,"형광(fluorescent), 장파 UV, 단판 UV = 파란색",유리광택(vitreous),-,흰색(white),등축정계(4/m32/m),"a = 5.4626 A, Z = 4; V = 163.00 A?ø"
황철석(pyrite),"Fe 46.55%, S 53.45%",황화 광물,"Ni, Co, As, Cu, Zn, Ag, Au, Tl, Se, V",옅은 황동색(pale brass yellow),"{100}, {110} 불명료(poor)",5 - 5.02(평균 = 5.01),불투명(opaque),패각상(conchoidal),6 - 6.5,비형광(non-fluorescent),금속광택(metallic),열처리 후 자성,녹흑색(greenish black),등축정계(2/m3),"a = 5.417 A, Z = 4; V = 158.96 A?ø"
할로이사이트(halloysite),"Al₂O₃ 39.50%, SiO₂ 46.55%, H₂O 13.95%",규산염 광물,"Ti, Ca, Na, K, Fe, Cr, Mg, Ni, Cu","흰색(white), 황백색(yellowish white), 황갈색(tan)",없음(none),2.55 - 2.65(평균 = 2.59),"반투명(translucent), 불투명(opaque)",아패각상(sub-conchoidal),1 - 2,비형광(non-fluorescent),토상광택(earthy),-,흰색(white),단사정계(m),"a = 5.14 A, b = 8.9 A, c = 7.214 A, Z = 2; V = 325.29 A?ø"
진사(cinnabar),"Hg 86.22%, S 13.78%",황화 광물,-,"붉은색(tint or shade of red), 주홍색(vermilion)",{1010} 완전(perfect),8.1,"투명(transparent), 반투명(translucent)",불평탄(uneven),2 - 2.5,비형광(non-fluorescent),금속광택(metallic),-,"적갈색(red-brown), 주홍색(scarlet)",삼방정계(32),"a = 4.415A, c = 9.496 A, Z = 3; V = 141.29 A?ø"
방해석(calcite),"CaO 56.03%, CO₃ 43.97%",탄산염 광물,"Mn, Fe, Zn, Co, Ba, Sr, Pb, Mg, Cu, Al, Ni, V, Cr, Mo","흰색(white), 무색(colorless), 노란색(yellow), 갈색(brown)",{1011} 완전(perfect),2.71,"투명(transparent), 반투명(translucent)",패각상(conchoidal),3.0,"형광(fluorescent), 인광(phosphorescent), 장파 UV, 단파 UV = 노란색, 파란색, 적녹색","유리광택(vitreous), 수지광택(resinous)",-,흰색(white),삼방정계(32/m),"a = 4.989 A, c = 17.064 A, Z = 6; V = 367.85 A?ø"
부석(pumice),"SiO₂ 76.2%, Al₂O₃ 13.5%, K₂O 1.8%, Na₂O 1.6%, Fe₂O₃ 1.2%, CaO 0.8%, TiO₂ 0.2%, MgO 0.05%, H₂O <1.0%",규산염 광물,-,"흰색(white), 담황색(light yellow), 담갈색(light brown)",완전(perfect),0.25 - 0.3(평균 = 0.275),불투명(opaque),평탄(even),6.0,-,토상광택(earthy),-,"흰색(white), 녹백색(greenish white)",,
활석(talc),"MgO 31.68%, SiO₂ 63.37%, H₂O 4.75%",규산염 광물,"Ni, Fe, Al, Ca, Na, H₂O","흰색(white), 무색(colorless), 회색(gray) 담녹색(pale green), 갈색(brown)",{011} 완전(perfect),2.7 - 2.8(평균 = 2.75),반투명(translucent),불평탄(uneven),1.0,"형광(fluorescent), 단파 UV = 주황색 장파 UV =","유리광택(vitreous), 진주광택(pearly)",-,흰색(white),삼사정계(2/m),"a = 5.29 A, b = 9.173 A, c = 9.46 A, Z = 2; V = 453.77 A?ø"
