DETAIL_ID,EXHIBIT_ID,TYPE,NAME,VALUE,SUB_VALUE,OPEN_YN,REG_DT,REG_ID,UP_DT,UP_ID
"16,133",578,E,학명,Lethasterias fusca d Yakono,,Y,11-17-2016 15:31:58,scicenter,,
"16,134",578,E,영명,Black seastar,,Y,11-17-2016 15:31:58,scicenter,,
"16,135",578,E,과명,불가사릿과,,Y,11-17-2016 15:31:58,scicenter,,
"16,136",578,E,목명,차극목,,Y,11-17-2016 15:31:58,scicenter,,
"16,137",578,E,크기,60㎜×36㎜×23㎜,,Y,11-17-2016 15:31:58,scicenter,,
"16,138",578,E,채집일,2014.03.28,,Y,11-17-2016 15:31:58,scicenter,,
"16,139",578,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:31:58,scicenter,,
"16,140",577,E,학명,Hippocampus japonicus,,Y,11-17-2016 15:32:08,scicenter,,
"16,141",577,E,영명,Hippocampus japonicus,,Y,11-17-2016 15:32:08,scicenter,,
"16,142",577,E,과명,실고기과,,Y,11-17-2016 15:32:08,scicenter,,
"16,143",577,E,목명,실고기목,,Y,11-17-2016 15:32:08,scicenter,,
"16,144",577,E,크기,37㎜×37㎜×13㎜,,Y,11-17-2016 15:32:08,scicenter,,
"16,145",577,E,채집일,2014.03.28,,Y,11-17-2016 15:32:08,scicenter,,
"16,146",577,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:32:08,scicenter,,
"16,147",576,E,학명,Syngnathus schlegeli,,Y,11-17-2016 15:32:19,scicenter,,
"16,148",576,E,영명,Syngnathus schlegeli,,Y,11-17-2016 15:32:19,scicenter,,
"16,149",576,E,과명,실고기과,,Y,11-17-2016 15:32:19,scicenter,,
"16,150",576,E,목명,실고기목,,Y,11-17-2016 15:32:19,scicenter,,
"16,151",576,E,크기,43㎜×19㎜×19㎜,,Y,11-17-2016 15:32:19,scicenter,,
"16,152",576,E,채집일,2014.03.28,,Y,11-17-2016 15:32:19,scicenter,,
"16,153",576,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:32:19,scicenter,,
"16,161",574,E,학명,Scyliorhinus torazame,,Y,11-17-2016 15:33:08,scicenter,,
"16,162",574,E,영명,cloudy dogfish,,Y,11-17-2016 15:33:08,scicenter,,
"16,163",574,E,과명,두둡상어과,,Y,11-17-2016 15:33:08,scicenter,,
"16,164",574,E,목명,흉상어목,,Y,11-17-2016 15:33:08,scicenter,,
"16,165",574,E,크기,40㎜×43㎜×15㎜,,Y,11-17-2016 15:33:08,scicenter,,
"16,166",574,E,채집일,2014.03.28,,Y,11-17-2016 15:33:08,scicenter,,
"16,167",574,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:33:08,scicenter,,
"16,182",571,E,학명,Sebastiscus marmoratus,,Y,11-17-2016 15:33:46,scicenter,,
"16,183",571,E,영명,Sebastiscus marmoratus,,Y,11-17-2016 15:33:46,scicenter,,
"16,184",571,E,과명,양볼락과,,Y,11-17-2016 15:33:46,scicenter,,
"16,185",571,E,목명,쏨뱅이목,,Y,11-17-2016 15:33:46,scicenter,,
"16,186",571,E,크기,42㎜×10㎜×50㎜,,Y,11-17-2016 15:33:46,scicenter,,
"16,187",571,E,채집일,2014.03.28,,Y,11-17-2016 15:33:46,scicenter,,
