대분류,분류명,분류설명,중분류,분류명,분류설명,소분류,분류명,분류설명,세분류,분류명,분류설명,최초등록일,수정일
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3011,"콘크리트,시멘트및플라스터","콘크리트는 시멘트가 물과 반응하여 굳어지는 수화반응(水和反應)을 이용하여 골재(骨材)를 시멘트풀(시멘트를 물로 개어 풀처럼 만든 것)로 둘러싸서 다진 것을 말하며,시멘트는 일반적으로는 토목 ·건축용의 무기질(無機質)의 결합경화제(結合硬化劑)를 의미하며, 시멘트는 주요 건설자재로서 콘크리트 또는 시멘트를 주원료로 한 2차 제품용으로 사용됨.플라스터는 석고 또는 석회, 물, 모래 등의 성분으로 이루어져 마르면 경화하는 성질을 응용하여 벽,천장 등을 도장하는 데 사용하는 풀 모양의 건축재를 말함",301116,시멘트및석회,"시멘트는 일반적으로는 토목,건축용의 무기질(無機質)의 결합경화제(結合硬化劑)를 의미하며, 그 중에서도 오늘날 흔히 시멘트로 불리는 것은 포틀랜드 시멘트를 말함.시멘트는 주요 건설자재로서 콘크리트 또는 시멘트를 주원료로 한 2차 제품용으로 사용함.석회는 보통 생석회(산화칼슘) CaO를 가리키는데, 이것이 물과 화합한 소석회(消石灰)를 의미함",30111607,생석회,"석회석 원석을 1100℃ 정도의 고온으로 가소하거나 질산염,옥살산염,수산화물 등을 구어서 제품화한 것을 생석회(生石灰)라 하며 생성회를 물과 작용시키면 소석회(消石灰)가 된다.생석회는 소석회 제조용외에 규석벽돌 제조용이나,제강용 등으로 사용함",2006-08-08 오후 3:02:00,2010-10-13 오후 3:36:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3011,"콘크리트,시멘트및플라스터","콘크리트는 시멘트가 물과 반응하여 굳어지는 수화반응(水和反應)을 이용하여 골재(骨材)를 시멘트풀(시멘트를 물로 개어 풀처럼 만든 것)로 둘러싸서 다진 것을 말하며,시멘트는 일반적으로는 토목 ·건축용의 무기질(無機質)의 결합경화제(結合硬化劑)를 의미하며, 시멘트는 주요 건설자재로서 콘크리트 또는 시멘트를 주원료로 한 2차 제품용으로 사용됨.플라스터는 석고 또는 석회, 물, 모래 등의 성분으로 이루어져 마르면 경화하는 성질을 응용하여 벽,천장 등을 도장하는 데 사용하는 풀 모양의 건축재를 말함",301118,콘크리트보강철물,"철근콘크리트 구조물에서 조적,미장용 보강철물로 사용되고 있는 철물류로서,대표적인 철물로는 메탈라스,와이어메쉬,블록메쉬 등이 포함됨",30111804,철근콘크리트근가,"수압 철관이 지상 또는 터널 속에서 지지대에 의하여 지지되는 경우,수압 철관에는 내압,관의 자중 (自重),관내 물의 중량,온도 변화 및 지진력,그 밖의 여러 외력의 작용으로 변위하기 때문에 이 변위를 구속하기 위하여 설치하는 구조물로서,일반적으로 콘크리트제 또는 철근 콘크리트제이다.수압 철관의 만곡부에는 불평균력이나 원심력이 작용하기 때문에 고정대를 설치한다.만곡이 없는 경우에도 안정상 120 ~ 150m 마다 설치하는 것이 일반적이며,고정대는 충분한 지지력을 갖는 지반 위에 설치하고 전도 (轉倒),슬라이딩에 대한 안정성을 확보하도록 설계해야 한다.철근콘크리트 근가로서 원심력 철근콘크리트 폴과 프리텐숀방식 원심력 프리스트레스트 콘크리트 폴 받침으로 사용하는 철근 콘크리트 고정대라고도 함",2006-08-08 오후 3:02:00,2007-08-21 오후 1:54:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3012,도로포장및조경재,"도로포장재는 도로면을 보호강화하고 평탄성을 높여 사람의 통행과 차량의 주행을 편하게 하기 위해서 처리된 노면구조물(路面構造物) 자재를 말하며,조경재는 조경수목을 보호하기 위해 필요한 자재,옥외조각과 슈퍼그래픽 등과 같은 예술품,가로장치물과 녹화토 조성을 위한 토양안정제 및 법면보호공,옹벽 등과 같은 시설물을 포함함.단 조경수목은 여기 분류에서는 제외함",301217,기타도로포장재료,"도로포장재료 중 도로보수를 위한 포장용보수재료,미끄럼방지 도로포장 재료 등을 포함하며,투수콘,아스팔트콘크리트 등은 제외함",30121702,토목섬유,"폴리프로필렌, 폴리에스터, 폴리에틸렌, 폴리아크릴니트릴, 나일론 등의 합성섬유를 직조하여 형성된 다공성 제품으로, 호안법면, 절토면 및 성토면의 침식방지와 녹화를 위하여 사용되며, 연약지반의 보강과 부등침하의 방지, 제방의 누수방지와 쓰레기 매립장의 침출수로 인한 지하수 및 토양오염방지 등을 위해 사용됨",2006-08-08 오후 3:02:00,
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3012,도로포장및조경재,"도로포장재는 도로면을 보호강화하고 평탄성을 높여 사람의 통행과 차량의 주행을 편하게 하기 위해서 처리된 노면구조물(路面構造物) 자재를 말하며,조경재는 조경수목을 보호하기 위해 필요한 자재,옥외조각과 슈퍼그래픽 등과 같은 예술품,가로장치물과 녹화토 조성을 위한 토양안정제 및 법면보호공,옹벽 등과 같은 시설물을 포함함.단 조경수목은 여기 분류에서는 제외함",301217,기타도로포장재료,"도로포장재료 중 도로보수를 위한 포장용보수재료,미끄럼방지 도로포장 재료 등을 포함하며,투수콘,아스팔트콘크리트 등은 제외함",30121703,도로포장용보수재,"도로포장용 보수재란,도로의 설계 및 유지관리의 하자 또는 과부하와 도로의 노후에 따른 도로의 파손 또는 균열을 보수하는데 사용되는 재료들을 말함",2006-08-08 오후 3:02:00,
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3012,도로포장및조경재,"도로포장재는 도로면을 보호강화하고 평탄성을 높여 사람의 통행과 차량의 주행을 편하게 하기 위해서 처리된 노면구조물(路面構造物) 자재를 말하며,조경재는 조경수목을 보호하기 위해 필요한 자재,옥외조각과 슈퍼그래픽 등과 같은 예술품,가로장치물과 녹화토 조성을 위한 토양안정제 및 법면보호공,옹벽 등과 같은 시설물을 포함함.단 조경수목은 여기 분류에서는 제외함",301221,법면보호공,"법면보호공이란,토양보존과 식물 성장에 적합한 특성을 보유함으로써 경사면의 침식이나 붕괴방지 및 절토,성토지역 경사면에 잔디 및 향토 초목류를 혼합 파종하고 그 위에 덮어줌으로써 보습, 보온으로 발아가 촉진되고 조속녹화가 되어 경사면을 보호하고 토량의 유실을 방지할 수 있는 각종 녹화토 공법을 포함함",30122105,토목섬유,"법면매트는 흙,모래,또는 식물의 종자를 강력하게 보유하여,물의 흐름이나 바람에 의한 유출,침식을 방지한다.또한 입체적인 얽힘 구조가 식물의 뿌리를 확실하게 고정시키고,그 성장을 원활하게 촉진시키며,성장한 식물의 뿌리가 얽힌 것에 의하여 기초 지반을 형성,토양을 안정화 시킨다.법면매트는 내압축성이나 복원성이 높아 입체구조가 외부로부터의 힘을 분산 시켜 항상 토양의 틈을 고도로 보호하면서 식물의 질식을 막는다.종류로는 앙카매트,직포매트,차수매트 등이 있다.앙카매트는 호안법면,절토면 및 성토면의 침식방지와 녹화를 위하여 사용하는 강인하고 신축성이 좋은 나일론섬유로 특수하게 얽혀있는 공극율 90%이상의 입체구조 형성매트를 말하며,종류는 일반형과 씨앗도포형이 있으며 하천,농수로 및 암벽녹화,모래땅,모래언덕의 녹화용에도 적용함.직포매트는 P.P(Polyprophylene),P.E.T(Polyester), P.E(Polyethylene)와 같은 섬유를 직조한 것으로, 연약지반의 보강와 부등침하의 방지에 사용되며,연약지반 개량공사시 장비진입을 위한 지지력 보강과 토사 유실 방지를 위해서도 사용된다.유연하여 시공성이 우수하고 내약품성과 내열성이 강하며 비중이 물보다 커서 수중포설이 가능하다.차수매트는 제방의 누수방지와 쓰레기 매립장의 침출수로 인한 지하수 및 토양오염방지를 위하여 사용하는 자재로서,토목용부직포에 합성수지 용융액을 도포하여 일체화하거나 섬유사이에 차수제를 넣어 불투수층을 형성 한 것을 말한다.토목용 부직포 사이에 벤토나이트로 채워서 차수 역활을 하는 벤토나이트 매트도 이에 속함",2006-08-08 오후 3:02:00,2006-12-07 오후 2:42:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301315,블록,"시멘트와 골재를 형틀에 채우고 진동,가압하여 성형한 시멘트 제품을 말하며,블록은 구조 형식에 따라 조적블록,장막블록,거푸집블록,보강블록 등으로 나눌 수 있으며,종류로는 속빈시멘트블록,콘크리트블록(경량기포콘크리트블록 포함),석재블록 등이 있음",30131502,콘크리트블록,"건축물 조립식 블록,하천 및 법면보호용 블록,차도 또는 도로의 경계부에 사용하기 위하여 인조화강석, 콘크리트, 합성수지 등으로 제조한 보차도 및 도로 경계블록이며 필요에 따라서 진입제한 등의 용도로 설치되며,종류로는 인조경계석,견치블록,ALC블록,법면보호블록 등이 포함됨",2006-08-08 오후 3:02:00,
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301315,블록,"시멘트와 골재를 형틀에 채우고 진동,가압하여 성형한 시멘트 제품을 말하며,블록은 구조 형식에 따라 조적블록,장막블록,거푸집블록,보강블록 등으로 나눌 수 있으며,종류로는 속빈시멘트블록,콘크리트블록(경량기포콘크리트블록 포함),석재블록 등이 있음",30131503,석재블록,"보도의 가장자리에 설치하는 석재로서,차도와 보도 사이에서 보도가 차도에 인접한 경계부분에 설치하는 보차도경계석과 차도 반대편 즉 건물이나 녹지쪽에 설치하는 도로경계석이 있다.일반적으로 단면은 4각형으로 되어 있으나 한쪽 모서리를 10mm 내외로 모떼기 한 것이 있는데 이부분을 위로 또 차도쪽으로 설치한다.위에서 볼 때에 직선형과 곡선형이 있으며, 길이는 보통 1m 짜리를 많이 사용함",2006-08-08 오후 3:02:00,
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301315,블록,"시멘트와 골재를 형틀에 채우고 진동,가압하여 성형한 시멘트 제품을 말하며,블록은 구조 형식에 따라 조적블록,장막블록,거푸집블록,보강블록 등으로 나눌 수 있으며,종류로는 속빈시멘트블록,콘크리트블록(경량기포콘크리트블록 포함),석재블록 등이 있음",30131505,고무블럭,"폐타이어,일반신발 겉창(구두, 운동화) 등 폐고무를 주원료로하여 제조한 것 또는 고무원료로 제조한 것으로 보도,학교,운동장,주택의 정원,선착장,수영장,헬스클럽,유치원,전시장 등의 보도용 바닥재로 사용되는 고무블록을 말한다.단 차도용은 제외임",2006-08-08 오후 3:02:00,
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301315,블록,"시멘트와 골재를 형틀에 채우고 진동,가압하여 성형한 시멘트 제품을 말하며,블록은 구조 형식에 따라 조적블록,장막블록,거푸집블록,보강블록 등으로 나눌 수 있으며,종류로는 속빈시멘트블록,콘크리트블록(경량기포콘크리트블록 포함),석재블록 등이 있음",30131508,조립식철근콘크리트암거블록,"주로 도로의 암거 배수로 또는 차량 및 보행자용 통로로 사용되는 철근 콘크리트 블록을 말하며,상판과 하판을 조립하는 형과 상하판 일체형을 연속적으로 조립하는 형이 있으며,통로의 수에 따라 1련,2련,3련으로 구분함",2006-08-08 오후 3:02:00,2007-06-14 오전 10:52:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301316,벽돌,"점토(粘土)를 주원료로 하여 고온으로 구운 건축재료를 의미하며,종류로는 시멘트벽돌,석재벽돌,세라믹벽돌 등이 있다. 단,내화(耐火)벽돌,내화단열벽돌은 제외함",30131602,세라믹벽돌,"고온으로 열처리하여 만든 비금속의 무기질 고체 재료를 사용하여 만든 벽돌로서 종류로는 황토벽돌,미장벽돌,유약벽돌,점토벽돌 등이 있다.황토벽돌은 진흙으로 빚어 햇볕에 말려 만든 벽돌로 흙에 석회나 모래 기타 특수한 것이나 강도 보강용 섬유 등을 섞어서 만든다.미장벽돌은 불순물이 많은 저급점토에 제점제로서 모래를 가하거나 색조 조절을 위해 석회를 가하거나 하여 소성 제품화한다.벽돌색갈이 적색 또는 적갈색을 띠는 것은 원료점토에 포함되어 있는 산화철에서 기인한다.표준형의 규격은 190x90x57mm이며 표면에 유약을 바르지 않은 제품을 말한다.유약벽돌은 벽돌의 길이나 마구리면에 오지물을 칠해 구은 치장벽돌의 일종이며 표면에 광택이나고 매끄러우며 오지를 칠하지 않은 벽돌보다 흡수율이 낮다.점토바닥벽돌은 도로나 바닥에 까는 두꺼운 벽돌로서 식염유로 시유하여 소성한 벽돌을 말한다.경질이며 흡수성이 적고 도로,복도,창고,공장 등의 바닥면에 적용 시공함",2006-08-08 오후 3:02:00,2007-01-11 오후 6:16:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301316,벽돌,"점토(粘土)를 주원료로 하여 고온으로 구운 건축재료를 의미하며,종류로는 시멘트벽돌,석재벽돌,세라믹벽돌 등이 있다. 단,내화(耐火)벽돌,내화단열벽돌은 제외함",30131603,콘크리트벽돌,"점토(粘土)를 주원료로 하여 고온으로 구운 건축재료로서,직사각형의 형상으로 된 블록으로 시멘트와 모래,자갈,쇄석 등을 혼합해서 만들어진다.보통 진흙, 벽돌의 크기와 비슷하며 벽돌 건축에 사용된다.연소재 벽돌,즉 연소재와 각종의 재활용 폐자재를 주원료로 하고 경화재를 혼합하여 진동 압축 성형하고 상온 양생 또는 수증기 양생으로 제조한 재활용 벽돌도 여기에 포함함",2006-08-08 오후 3:02:00,
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301317,타일및판석,"타일은 바닥,벽 등의 표면을 피복하기 위하여 만든 평판상(平板狀)의 점토질 소성제품을 말하며,타일에는 내장(內裝)벽타일,외장타일,모자이크타일,내산타일,외부바닥타일,염전타일,쿼리타일 등이 포함되며,판석은 건축,토목 및 기타 제작에 사용되는 석재를 말함. 단 제외되는 품목은 인테리어용 내부바닥타일,석재타일은 제외함",30131703,콘크리트타일및판석,"콘크리트타일 및 판석은 보도용콘크리트판과 테라조타일 등이 있음. 보도용콘크리트판은 주로 보도에 사용하기 위하여 콘크리트로 제조한 판으로 모양은 정사각형과 정사각형을 이등분한 삼각형으로, 보도·조경 등에도 사용됨. 또한 테라조타일은 대리석이나 화강암 등의 부순 골재와 안료, 시멘트를 혼합한 콘크리트로 성형하여 굳은 후 표면을 연마하여 마무리한 타일로서, 보강철선이 없으며 주로 바닥에 사용됨.",2006-08-08 오후 3:02:00,2007-01-17 오후 5:08:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301317,타일및판석,"타일은 바닥,벽 등의 표면을 피복하기 위하여 만든 평판상(平板狀)의 점토질 소성제품을 말하며,타일에는 내장(內裝)벽타일,외장타일,모자이크타일,내산타일,외부바닥타일,염전타일,쿼리타일 등이 포함되며,판석은 건축,토목 및 기타 제작에 사용되는 석재를 말함. 단 제외되는 품목은 인테리어용 내부바닥타일,석재타일은 제외함",30131704,세라믹타일및판석,"세라믹은 먼저 성형되고 그 다음으로 열에 의해 항구적으로 경화한 무기 물질로 만든 제품으로, 세라믹 타일은 유약으로 마무리하는 방법과 유약을 쓰지 않고 마무리하는 방식으로 생산됨. 유약으로 마무리하는 경우는 바닥용 재료로는 점점 더 쓰이지 않고 있으며 화장실의 벽과 주방용 조리대로 흔하게 적용되며, 바닥용 타일을 위해서는 보다 새로운 유약처리방식이 사용되고 미끄럼 방지를 위해 결을 넣으며, 유약 처리한 바닥타일은 세라믹보다는 자기타일이 일반적임. 종류로는 자기질타일, 도기질타일, 벽화타일, 테라코타, 항균타일, 모자이크타일, 수영장타일, 석기질타일 등이 포함됨. 자기질타일은 점토, 도석, 장석을 배합한 재료와, 장석이나 안료 등을 유약으로 고온 소성하여 소결시킨 것으로, 흡수성이 거의 없고 기계적 강도, 화학적 내식성 및 내열성이 뛰어나며, 자연석과 유사한 질감이 있음. 용도에 따른 종류는 외장, 내장, 바닥, 모자이크 타일로 구분되며, 내장은 옥내의 벽에, 외장은 옥내외의 벽에, 바닥타일은 옥내외의 벽 및 바닥에 적용됨. 도기질타일은 점토질 원료에 석영, 도석, 납석 및 약간의 장석질을 섞어 높은 온도에서 초벌 구이한 다음 플릿유를 칠하여 약간 낮은 온도에서 다시 구워 굳혀서 만든 타일이며 흡수성이 있고 불투명하며 때리면 탁한 소리가 남. 벽화타일은 타일을 사용하여 벽에 그림을 그리는 것으로 변색이 되지 않고 유지관리가 쉬우며 타일자체의 크기가 정해져 있지를 않는 것이 보통임. 테라코타는 굽은 흙을 의미하며 고대 이집트 시대부터 사용되어 온 공동의 대형 점토 제품을 말하며, 구조용과 장식용이 있으나 주로 장식용으로 사용되고, 난간벽, 돌림대, 창대, 주두 등에 적용됨. 모자이크타일은 중세기에 발달한 장식예술에 속하는 무늬, 그림으로 색유리, 타일, 돌, 금속, 달걀껍질, 색종이 등 조그마한 색 조각 등을 붙여서 만드는 그림을 모자이크라 하며, 여기에 사용되는 타일을 모자이크 타일이라 함. 수영장 타일은 일반타일과 달리 물속에서 반영구적으로 사용되어지며 수영장의 정수와 관련하여 각종 화학약품이 첨가되어 사용에 신중을 기하여야 함. 석기질타일은 자연산 여러 가지 석재를 주원료로 하여 분쇄 혼합하여 습윤 상태에서 진공토련기로 사출 성형하여 만드는 것으로 뒷굽이 갈고리형 또는 역삼각형으로 되어 부착력이 강한 타일을 말함.",2006-08-08 오후 3:02:00,2007-01-17 오후 5:08:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3013,건축용구조재,"일반적인 건축용 구조재로는 벽돌,블록,가공한 석재,바닥 및 벽타일,건축용 테라코타,콘크리트 슬래브 및 그릴 등을 포함하며,유리블록,커튼월 등은 여기 분류에서는 제외함",301317,타일및판석,"타일은 바닥,벽 등의 표면을 피복하기 위하여 만든 평판상(平板狀)의 점토질 소성제품을 말하며,타일에는 내장(內裝)벽타일,외장타일,모자이크타일,내산타일,외부바닥타일,염전타일,쿼리타일 등이 포함되며,판석은 건축,토목 및 기타 제작에 사용되는 석재를 말함. 단 제외되는 품목은 인테리어용 내부바닥타일,석재타일은 제외함",30131706,특수타일및판석,"특수타일은 주로 장애인들을 위한 안전유도를 목적으로 생산된 제품을 말하며,여기에는 아스팔트타일,안전유도타일 등이 있다.아스팔트타일은 바닥 마무리재료의 하나인 결합재로서 아스팔트에 석면,탄산칼슘 및 안료를 첨가하고 가열, 혼합하여 이것을 압연한 시트에서 타일모양으로 따낸 것을 말한다.안전유도타일은 일반인을 위한 것과 시각장애인을 위한 것이 있으며 시각장애인용 유도블럭은 시각장애인이 통상의 보행상태에서 주로 발바닥이나 지팡이의 촉감으로 그 존재 및 대강의 형태를 확인할 수 있도록 돌기를 표면에 양각시킨 블럭으로써 시각장애인에게 보다 정확한 보행위치와 보행방향을 안내하기 위해서 설치하는 시설물을 말하며 점자형식의 것으로 제작되어 위험의 경고에 의한 안전도모,일정한 장소로의 안내를 위하여 승차장,통로 등에 설치하여 사용되는 유도형 타일이 있으며 자기질,고무(재생고무 포함) 등 다양한 재질의 것이 있음",2006-08-08 오후 3:02:00,2007-01-11 오후 7:27:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3014,단열재,"단열재란 일정한 온도가 유지되도록 하려는 부분의 바깥쪽을 피복하여 외부로의 열손실이나 열의 유입을 적게 하기 위한 재료를 말하며,단열재는 약 100 ℃ 이하에서 사용하는 것을 목적으로 하는 보냉재(保冷材), 100∼500 ℃의 보온재(保溫材), 500∼1,100 ℃의 단열재, l,100 ℃ 이상에서 사용할 수 있는 내화단열재 및 뿜칠단열재,내화피복재 등을 모두 포함함",301415,열단열재,"일정한 온도가 유지되도록 하려는 부분의 바깥쪽을 피복하여 외부로의 열손실이나 열의 유입을 적게 하기 위한 재료로서,단열재는 약 100 ℃ 이하에서 사용하는 것을 목적으로 하는 보냉재(保冷材),100∼500 ℃의 보온재(保溫材),500∼1,100 ℃의 단열재, l,100 ℃ 이상에서 사용할 수 있는 내화단열재(耐火斷熱材)가 있다.일반적으로 열(熱)이 전도(傳導)나 복사(輻射)에 의해 달아나기 힘든 재료를 벽체(壁體) 또는 천장에 사용하여 방서(防暑),방한(防寒)효과를 갖게 하는 것,이러한 모든것들을 단열재(斷熱材),차열재(遮熱材)라고도 한다.특수건축의 보온,보냉장치(保冷裝置)의 격벽재료(隔壁材料)로 사용되는 것도 있으며,열전도율이 작은 재료이다.재료에는 석면(石綿),암면(岩綿),유리섬유,텍스,코르크 등이 있으며,복사열을 반사(反射)하는 알루미늄박(箔) 등이 사용되는 목모(木毛),목편(木片)시멘트판,펄라이트보드,또는 스티로폼의 기포판(氣泡板)이 사용됨",30141503,기포단열재,"거품폴리스티렌이라고도 하며,내수성(耐水性),단열성,방음성,완충성 등이 우수하기 때문에 포장재료,건축재료,부력재(浮力材),장식품,절연재 및 일용품 등으로 널리 적용된다.제조법으로는 폴리스티렌에 발포제로서 저급(低級) 탄화수소를 함유시킨 발포성 비즈를 형(型)에 넣어 1단계 또는 2단계로 가열발포시킨 다음,시트상(狀)으로 압출하여 진공성형(眞空成形)하거나, 또는 보통의 폴리스티렌에 발포제를 가해서 판상(板狀)으로 압출하거나, 2배 정도로 저발포(低發泡) 사출성형하는 방법이 있으며,여기에는 발포폴리스티렌판,압출발포폴리스티렌판,열반사단열재,우레탄폼단열재,우레탄폼보드단열재 등이 있다.발포폴리스티렌판은 사용 온도 70℃ 이하의 보온,보랭에 사용하는 폴리스틸렌을 발포시켜 만든 발포 폴리스틸렌 보온판 및 보온통을 말하며,제조 방법으로는 비드법과 압출법이 있다.압출발포 폴리스티렌 판은 폴리스티렌을 가열 용융하고 연속적으로 압출, 발포시켜 만든 판을 말하며 단열과 보온 효과가 좋으며 압출강도, 굽힙강도 및 열전도율의 대소에 따라 종류를 구분 할 수도 있다.열반사 단열재는 열을 차단하거나 보온 할 수 있는 성능을 가진 알루미늄 박판 등으로 만든 시트를 말하며 열 흐름을 주도하는 복사열을 대부분 반사시켜 여름에 태양열이 내부로 들어오는 것을 차단시키고 겨울에는 내부의 열기가 외부로 누출되는 것을 방지시켜주므로 스레트 지붕이나 천정 등에 많이 사용한다.벽면부착용 단열재는 특수인쇄처리 또는 항균처리 등이 된 장섬유 부직포(不織布)에 실리콘, 폴리에티렌폼,알루미늄 박지 등을 배열시켜 만든 단열재의 일종으로서 벽에 부착하기 쉽도록 이형지 등을 부착시킨다.폴리에틸렌 발포 단열재는 에틸렌의 종합체인 폴리에틸렌을 발포시켜 만든 단열재로서 단열성,내수성,내한성,화학적성질이 우수하고 내구성이 좋으므로 온도 범위가 120℃이내의 산업현장에 많이 적용된다.우레탄폼 단열재는 폴리우레탄의 원료인 PPG(Polypropylene Glycol)와 MDI(Diphenyl Methane Diisocyanate)를 일정한 비율로 현장에서 혼합,주입, 발포시켜 만든 폼형태의 단열재를 말하며 시공 대상의 형태에 따라서 현장에서 주입하거나 스프레이한다.우레탄폼보드 단열재는 요소와 알코올의 축합반응에 의해 생산되는 폴리우레탄에 발포제 등을 첨가하여 만든 판모양의 단열재로서 면재를 양면 또는 일면에 부착하여 발포시켜 ???≠?모양의 판형으로 생산되며 무공해로 단열효과가 좋아 산업현장에 많이 사용됨",2006-08-08 오후 3:02:00,2007-01-09 오후 2:05:00
