대분류,분류명,분류설명,중분류,분류명,분류설명,소분류,분류명,분류설명,세분류,분류명,분류설명,최초등록일,수정일
22,건설기계,"구조물과 도로의 건설, 수리, 유지하는 장비와 부속물 등을 포함함",2210,건설중장비및설비,"토목,건축 공사에 사용되는 기계로 굴착,운반용 기계, 적재기계, 운반기계, 기초공사용 기계, 노반용 기계, 골재생산기계, 콘크리트기계,아스팔트포장기계 등을 포함함",221015,토공기계,땅을 파거나 다지거나 또는 노면상태를 고르게하기위하여 사용하는 기계류,22101526,궤도굴삭기,"차체 전방의 붐(Boom)에 연결된 암(Arm)의 끝단에 버킷 등을 창작하여 도랑파기, 파내기, 다시 정돈하기, 호파기, 되메우기, 싣기 등의 작업을 할 수 있는 건설기계로, 하부구동체가 무한궤도식(Track Type Crawler)인 것을 말함.",2006-08-08 오후 3:02:00,2009-04-03 오후 1:45:00
22,건설기계,"구조물과 도로의 건설, 수리, 유지하는 장비와 부속물 등을 포함함",2210,건설중장비및설비,"토목,건축 공사에 사용되는 기계로 굴착,운반용 기계, 적재기계, 운반기계, 기초공사용 기계, 노반용 기계, 골재생산기계, 콘크리트기계,아스팔트포장기계 등을 포함함",221015,토공기계,땅을 파거나 다지거나 또는 노면상태를 고르게하기위하여 사용하는 기계류,22101528,차륜로더,"차체 전방에 유압으로 작동하는 버킷이 장착된 자주식 차륜 차량으로, 버킷을 붐으로 상하 작동시켜 토사나 골재,눈 등 각종 작업물을 굴삭작업, 퍼올리기작업을 하여 덤프트럭 등에 적재하는 건설용 장비임.",2006-08-08 오후 3:02:00,2006-08-21 오후 5:21:00
22,건설기계,"구조물과 도로의 건설, 수리, 유지하는 장비와 부속물 등을 포함함",2210,건설중장비및설비,"토목,건축 공사에 사용되는 기계로 굴착,운반용 기계, 적재기계, 운반기계, 기초공사용 기계, 노반용 기계, 골재생산기계, 콘크리트기계,아스팔트포장기계 등을 포함함",221016,도로포장용기계,도로를 확장하고 다지고 포장하는데 사용하는 장비,22101614,노면절단기,"관(管)의 매설, 도로의 보수 보강을 할 목적으로 도로면의 일부를 절단하는 장치로서, 회전식 톱이 있고 톱의 끝에는 인조 다이아몬드가 붙어 있어 콘크리트 및 암석의 절단 등에 사용되며, 톱에 발생하는 열을 식히기 위하여 살수하는 장치가 포함되어 있음.",2006-08-08 오후 3:02:00,2009-04-03 오후 1:45:00
23,산업기계,"산업용 제품과 부품을 가공, 제조하고 처리하는데 필요한 기계, 장비 및 식품, 음료, 직물, 가죽, 섬유의 제조와 처리에 사용되는 기계, 장비와 부속물",2317,금속가공기기및부품,주조(鑄造)·단조(鍛造) 등으로 만든 기계부품을 가공하는 기계,231720,금속공작기계부품,금속물 가공작업을 위해 사용되는 기계류에 대한 보조부착물,23172032,받침블록,"각종 철공의 수작업을 할 때 받침으로 사용하는 쇠로 만들어진 사각형의 덩어리를 말하며, 정밀 평면과 홈이 파인면, 구멍이 뚫린 면 등이 있어 망치 작업, 리벳팅 작업, 래핑 작업, 성형 작업 등을 할 수 있음",2006-08-08 오후 3:02:00,2009-04-03 오후 1:45:00
24,물품취급장비,"자재 운송,적재,순환,회전 그리고 창고와 같이 상품저장에 필요한 장비,부품 소모품을 포함",2410,운반하역기계및장비,"제품을 운반하는 각종 카트,핸드트럭 적은 힘으로 무거운 제품을 옮기거나 이동시키기 위한 장비,부품,컨베이어,부두용 운송장비,드럼 운반 하역장비,선반,보관장비,포장장비",241020,선반및저장장비,화물을 올려놓고 보관하거나 저장하는데 사용하는 장치,24102003,팔레트,"유닛로드 시스템을 추진하기 위해 사용되며, 물품을 수송, 하역, 보관하기 위하여 단위 수량으로 한데 모아서 쌓아 놓는 면을 가진 것을 말한다(KS A0013-물류용어). 구조에 따라 단면, 양면, 2방향, 4방향이 있고 화물취급판 위로 연장된 양면이 있을 수도 있다(KS A1104). 재질로는 종이, 나무, 플라스틱, 철제등이 있으며 스키드(skid) 및 슬립시트(slip sheet)를 포함한다.",2006-08-08 오후 3:02:00,2009-04-03 오후 1:45:00
24,물품취급장비,"자재 운송,적재,순환,회전 그리고 창고와 같이 상품저장에 필요한 장비,부품 소모품을 포함",2414,포장보조용품,"물품을 수송 ·보관함에 있어서 가치 및 상태를 보호하기 위하여 적절한 포장재료,부품,소모품",241416,제품완충용재료,충격으로 인해 급격히 가해지는 에너지를 흡수해서 충격을 완화시키는 목적으로 사용되는 재료,24141601,완충포말포장재,"2장의 폴리에칠렌필름 사이에 공기를 주입하며 공기방울이 연속적으로 포함되도록 하는 방식으로 충격을 흡수하도록 만든 완충 포장재로 전기,전자및 정밀부품과 유리,세라믹,공예품 등의 깨지기 쉬운 물품의 포장에 활용됨",2006-08-08 오후 3:02:00,
25,운송기기,"사람 또는 화물의 이동에 쓰이는 운반구, 즉 자동차, 우주선, 해양선, 비행기, 오토바이, 기차, 여가용 동력 및 비동력 운반구. 이런 운반구의 수리, 유지에 필요한 부품, 부속물, 시스템",2511,선박,"물에 떠서 사람, 가축, 물자를 싣고 물 위로 이동할 수 있는 구조물로 길이가 짧은 몇 m의 소형선은 주(舟), 정(艇), 단정(端艇) 등으로 부르고 그보다 큰 것은 배, 선박이라 부름. 조타기, 닻, 부표 등과 같이 각종 선박용 장치 및 부조립품도 포함됨",251119,선박용시스템및부조립품,"선박에서 사용되는 각종 기구로서 닻, 노, 밸러스트를 조절하는 장치, 방현재, 부표 및 각종 선박용  통신장치 및 선박용 훈련장비 등을 포함한다.",25111943,고무방현재,"선박이 부두에 접안 또는 정박 중에 생기는 충격력, 마찰력을 고무의 탄성 변형으로 흡수하여 선박 및 부두 시설을 보호하기 위하여 부두나 안벽 등의 지상 시설물에 설치하는 고무로 제작된 완충장치를 말함. 천연 또는 합성 고무로 된 내부 고무층과 네오프렌 합성 고무를 사용한 표면 피복층으로 구성되어 접착제로 열압착됨. 형태별 종류로는 원통형과 V형 등 5종이 있음",2006-08-08 오후 3:02:00,2009-04-03 오후 1:45:00
26,회전기기및경전기,"다양한 형태의 에너지를 동력으로, 동력을 전력으로 전환시키는 기계 모터, 발전기, 변압기, 변속기와 같이 에너지를 엔진으로부터 전력과 동력의 배분에 쓰이는 장치, 시스템, 부품으로 전달하는 기계 및 전기 기계나 기구의 편의적인 구별의 한 가지로, 가정용 전기 기구 등의 경전기로 중전기와 구별",2612,전선및케이블,"전력 또는 전기신호를 보내기 위해 사용되는 선류 및 그 부속물로서 나선과 절연전선이 있으며 용도에 따라서 만들어진 여러 가지 모양의 전선이 있고 전선에서는 대체로 구조가 복잡하거나 고압 및 고주파용 등 특수한 용도에 사용되는 고급 절연전선을 케이블이라하며, 금속으로 차폐된 것이 많고 종류로서는 전력케이블, 동축(同軸)케이블, 시내케이블, 시외케이블, 해저(海底)케이블 등이 있음",261216,전기케이블및부속품,"구조가 복잡하거나 고압, 고주파용 등 특수한 용도에 사용하기 위하여 절연내력과 기계적 강도를 크게한 절연전선",26121632,전력케이블,"절연물질로 케이블에 절연하고 염화비닐수지, 고무 등으로 피복한 케이블을 말한다. 케이블속에 절연가스를 봉입하거나 절연지, 독성이 적거나 난연물질 등으로 절연하는 경우도 있다. 종류로는 고무로 피복한 고무 절연 케이블류, 비닐로 절연한 비닐 케이블류, 폴리에틸렌으로 절연한 폴리에틸렌 케이블류 등이 있으며, 주로 전력케이블로 사용된다.",2006-08-08 오후 3:02:00,2009-10-08 오후 3:46:00
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3010,기본건축자재,"기초,기둥,벽,바닥 등의 건물 뼈대, 즉 구조체(構造體)가 되는 부재를 말하며,구조용 목재는 침엽수 중에 소나무,낙엽송,잣나무,전나무 등이 쓰이고,외국산 이식재(移植材)로는 삼나무,회나무 등이 있음.구조용 강재는 원광석을 고로에서 용융하여 선철을 만들고 다시 평로,전로,전기로에서 정제하여 강괴로 만든 것을 필요한 형태로 압연성형한 압연강재가 주로 포함됨",301016,봉,"보통 홈롤(grooved roll)을 사용하여 압연(壓延)해서 만드는 막대 모양의 강재(鋼材)로서,막대강이라고도 함. 단면의 형상은 환,각,평,육각,팔각,반원강 등의 종류가 있고 압연에서 길이는 늘어나지만 폭은 줄어들지 않으므로, 이 때문에 둥근 봉,각봉(角棒)을 압연하려면, 한 번 통과할 때마다 45° 또는 90°를 회전시켜 압연해서 성형함,재질별 종류로는 철합금봉,비철합금봉,철근,스테인리스봉 등이 포함됨",30101610,황동봉,"황동봉의 제품으로는 황동봉,단조용 황동봉,쾌삭용 황동봉,고강도 황동봉이 포함되며,황동봉은 30∼40％ 정도의 아연(Zn)을 포함하는 동합금인 황동으로 만든 봉을 말하며,냉간 단조성, 전조성, 냉간 가공성이 좋아 기계부품이나 전기부품등에 많이 사용되며,여기에는 KS D5101 중에서 황동봉의 합금번호C2600BE,C2600BD,C2700BE, C2700BD,C2800BE,C2800BD 가 해당되며,단조용 황동봉은 열간 단조성이 좋고 피절삭성이 좋으므로 밸브,기계 부품용의 단조 소재로 많이 사용된다.여기에는 KS D5101에 규정한 C3712,3771의 황동봉을 모두 포함한다.고강도 황동봉은 황동으로 만들어진 고강도 봉을 말하며,강도가 높고 열간 단조성,내식성이 좋아 선박용 프로펠러축,펌프축 등에 많이 사용된다.KS D5101에 규정한 C6782,6783이 해당됨",2006-08-08 오후 3:02:00,
30,건자재,"구조물과 도로의 건설,수리,유지에 사용되는 부품,자재,시스템 structural shapes 구조물,조립식 구조물,내장,외장 마감재,전기와 배관 장치,판재,건자재,콘크리트 등을 포함함",3010,기본건축자재,"기초,기둥,벽,바닥 등의 건물 뼈대, 즉 구조체(構造體)가 되는 부재를 말하며,구조용 목재는 침엽수 중에 소나무,낙엽송,잣나무,전나무 등이 쓰이고,외국산 이식재(移植材)로는 삼나무,회나무 등이 있음.구조용 강재는 원광석을 고로에서 용융하여 선철을 만들고 다시 평로,전로,전기로에서 정제하여 강괴로 만든 것을 필요한 형태로 압연성형한 압연강재가 주로 포함됨",301022,판,"강철로 만든 판을 의미하며,판 두께에 따라 6 mm 이상인 것을 후판(厚板), 그 이하 1~6 mm의 것을 중판, 1 mm 이하인 것을 박판(薄板)이라고 함.이것은 건축,교량,차량,선박 등에 사용되는 일반구조용인 열간압연강재(熱間壓延鋼材),용접성이 우수한 용접구조용 강재,항복점(降伏點)이 높은 비조질고장력강(非調質高張力鋼),조질고장력강이 있음. 비바람에 노출되는 건축,교량,철도차량,대기오염이 심한 공장지대,염해(鹽害)를 받는 곳 등에 사용되는 내후성(耐候性) 강판과 저온용강판,냉간압연강판(冷間壓延鋼板),표면처리강판,표면특수형상강판 등이 있음",30102204,강판,"평평하게 열간압연 또는 냉간압연된 강철로서 평판상으로 절단된 강재, 강대로부터의 자른 판(切板)도 포함하며, 두께 3mm를 경계로 후판과 박판으로 대별됨. 3mm이하인 박판류에 속하는 강판은 품종이 많고 규소강판, 후프 등도 두께면에서는 대부분 박판에 속함. 함석판, 아연철판 등의 도금강판 외에 스트립 밀에 의한 박판의 품질 향상에 수반해 각종 특수피막 강판, 표면처리강판, 경량형강 등 박판을 원판으로 하는 강판 품종은 점점 더 다양화되고 있음.",2006-08-08 오후 3:02:00,2007-01-14 오후 11:05:00
