단지명,회사명,공장대표주소,업종명,데이터기준일자
개별입지,강진군농협쌀조합공동사업법인도암공장,전라남도 강진군 도암면 해강로 696,곡물 도정업,2025-09-08
개별입지,강진만영어조합법인,전라남도 강진군 대구면 백사1길 9,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,강진석물공장,전라남도 강진군 강진읍 지전로 558,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3종,2025-09-08
개별입지,강진식품,전라남도 강진군 강진읍 해강로 1167-17,두부 및 유사식품 제조업,2025-09-08
개별입지,강진전통된장영농조합법인,전라남도 강진군 군동면 신기2길 2,장류 제조업,2025-09-08
개별입지,강진정미소,전라남도 강진군 군동면 호계리 901-1번지,곡물 도정업,2025-09-08
개별입지,강진정미소,전라남도 강진군 군동면 라천리 1153-17번지 외 1필지,곡물 도정업,2025-09-08
개별입지,강진철망,전라남도 강진군 강진읍 해강로 1377,금속선 가공제품 제조업,2025-09-08
개별입지,강진탐진청자,전라남도 강진군 대구면 청자로 1726-2 (총 2 필지),가정용 및 장식용 도자기 제조업,2025-09-08
개별입지,강진후앙,전라남도 강진군 강진읍 보은로 127-1,그 외 기타 분류 안된 섬유제품 제조업,2025-09-08
개별입지,광림장갑,전라남도 강진군 강진읍 강진공단길 45-22,기타 편조의복 액세서리 제조업,2025-09-08
강진환경산업단지,광진콘크리트 주식회사 ,전라남도 강진군 성전면 강진산단로2길 109,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1종,2025-09-08
개별입지,남양산업(주),전라남도 강진군 군동면 진흥로 54,반려동물용 사료 제조업 외 2종,2025-09-08
강진칠량농공단지,남해영농조합법인,전라남도 강진군 칠량면 청자로 656-63,수산식물 가공 및 저장 처리업,2025-09-08
강진칠량농공단지,남해영어조합법인,전라남도 강진군 칠량면 송로리 1192번지,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,농업법인회사(유)금양,전라남도 강진군 작천면 금강로 575-17,곡물 도정업,2025-09-08
강진환경산업단지,농업회사법인 가온유통주식회사 ,전라남도 강진군 성전면 강진산단로1길 75,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1종,2025-09-08
강진환경산업단지,농업회사법인 가온축산 주식회사,전라남도 강진군 성전면 강진산단로1길 71,육류 도축업(가금류 제외) 외 1종,2025-09-08
개별입지,농업회사법인 도경주식회사,"전라남도 강진군 강진읍 영랑로1길 16, 2층",차류 가공업,2025-09-08
개별입지,농업회사법인 모아푸드 주식회사,전라남도 강진군 성전면 신풍길 8,가금류 가공 및 저장 처리업,2025-09-08
개별입지,농업회사법인 제론팜 주식회사,전라남도 강진군 칠량면 현천길 78-13,농업 및 임업용 기계 제조업,2025-09-08
개별입지,농업회사법인 주식회사 콩새미,전라남도 강진군 성전면 도림로 363-9,장류 제조업 외 2종,2025-09-08
개별입지,농업회사법인 한성,전라남도 강진군 도암면 덕촌길 29-4,기타 곡물 가공품 제조업,2025-09-08
개별입지,농업회사법인(유)지에이피코리아농산,전라남도 강진군 군동면 화방로 382-23,혼성 및 재생 플라스틱 소재 물질 제조업,2025-09-08
개별입지,농업회사법인(주) 참농인,전라남도 강진군 강진읍 목화길 15,기타 과실ㆍ채소 가공 및 저장 처리업,2025-09-08
개별입지,농업회사법인(주)남도그린,전라남도 강진군 칠량면 청자로 1078,빵류 제조업 외 5종,2025-09-08
개별입지,농업회사법인(주)배럭,전라남도 강진군 병영면 병영남문길 4,맥아 및 맥주 제조업,2025-09-08
개별입지,농업회사법인(주)오설록농장 월출산공장,전라남도 강진군 성전면 백운로 93-25,차류 가공업,2025-09-08
강진칠량농공단지,농업회사법인(주)정심푸드,전라남도 강진군 칠량면 청자로 656-54,기타 과실ㆍ채소 가공 및 저장 처리업,2025-09-08
개별입지,농업회사법인(주)황칠코리아,전라남도 강진군 강진읍 덕남로 87 (강진서초등학교),차류 가공업 외 2종,2025-09-08
개별입지,농업회사법인느린건조(주),전라남도 강진군 성전면 별뫼로 210,기타 곡물 가공품 제조업,2025-09-08
강진마량농공단지,뉴그린영어조합법인,전라남도 강진군 마량면 마량공단길 27-9,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,다산도자기,전라남도 강진군 대구면 청자촌길 20-2,가정용 및 장식용 도자기 제조업,2025-09-08
개별입지,다산명가 주식회사 농업회사법인,전라남도 강진군 도암면 학장용산길 39,장류 제조업,2025-09-08
개별입지,다산수산,전라남도 강진군 도암면 해안관광로 980-5,수산동물 건조 및 염장품 제조업 외 2종,2025-09-08
개별입지,대륙물산,전라남도 강진군 대구면 청자해안길 181,수산식물 가공 및 저장 처리업,2025-09-08
강진마량농공단지,대명미역,전라남도 강진군 마량면 마량공단길 17-11,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,대성정미소,전라남도 강진군 강진읍 중앙로 42,곡물 도정업,2025-09-08
개별입지,대신산업,전라남도 강진군 성전면 월평리 12번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종",2025-09-08
개별입지,대원콘크리트(주),전라남도 강진군 성전면 별뫼로 150,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2종",2025-09-08
강진마량농공단지,대익물산,전라남도 강진군 마량면 마량공단길 22,수산식물 가공 및 저장 처리업,2025-09-08
강진마량농공단지,대희수산,전라남도 강진군 마량면 마량공단길 35,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,덕서정미소,전라남도 강진군 도암면 덕촌길 29-1,곡물 도정업,2025-09-08
강진환경산업단지,덕성이엔지(주),"전라남도 강진군 성전면 강진산단로2길 145, 덕성이엔지(주) ","금속 문, 창, 셔터 및 관련제품 제조업 외 5종",2025-09-08
개별입지,도암농협미곡처리장,전라남도 강진군 도암면 해강로 696,곡물 도정업,2025-09-08
개별입지,도암산업,전라남도 강진군 도암면 백도로 1754-47,직물포대 제조업,2025-09-08
개별입지,도암주조공사,전라남도 강진군 도암면 도암중앙로 61,탁주 및 약주 제조업,2025-09-08
개별입지,동광영농조합법인,전라남도 강진군 강진읍 해강로 1391,곡물 도정업,2025-09-08
개별입지,동광재활용산업 주식회사,전라남도 강진군 도암면 다산로 983,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종",2025-09-08
개별입지,동오식품상사,전라남도 강진군 칠량면 영풍길 13,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,동촌산업,전라남도 강진군 군동면 백금포길 4,곡물 도정업,2025-09-08
개별입지,두산영농조합법인,전라남도 강진군 대구면 사당리 578번지,수산식물 가공 및 저장 처리업,2025-09-08
강진칠량농공단지,두산영어조합법인,전라남도 강진군 칠량면 청자로 656-63,수산식물 가공 및 저장 처리업,2025-09-08
강진칠량농공단지,두원푸드,전라남도 강진군 칠량면 청자로 656-73,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,만덕통상(주),전라남도 강진군 도암면 월하2길 206,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3종,2025-09-08
강진칠량농공단지,믿음농수산유통 영어조합법인,전라남도 강진군 칠량면 청자로 656-60,수산식물 가공 및 저장 처리업 외 1종,2025-09-08
강진칠량농공단지,바다해미영어조합법인지점,전라남도 강진군 칠량면 청자로 656-8,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,바닷가 사람들,전라남도 강진군 강진읍 강진공단길 26,반려동물용 사료 제조업 외 2종,2025-09-08
개별입지,백상건설(주),전라남도 강진군 강진읍 보은로 71,"금속 문, 창, 셔터 및 관련제품 제조업 외 8종",2025-09-08
개별입지,백제요업,전라남도 강진군 신전면 용월리 213-1번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종",2025-09-08
개별입지,병영양조장,전라남도 강진군 병영면 하멜로 407,탁주 및 약주 제조업 외 1종,2025-09-08
개별입지,병영황토벽돌,전라남도 강진군 병영면 장강로 984,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종",2025-09-08
개별입지,봉황옹기공장,전라남도 강진군 칠량면 칠량옹기로 179,석재성형가공품제조업,2025-09-08
개별입지,부래영어조합,전라남도 강진군 군동면 삼신리 904-1번지,수산식물 가공 및 저장 처리업,2025-09-08
강진칠량농공단지,부래영어조합법인,전라남도 강진군 칠량면 청자로 656-57,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,삼강산업,전라남도 강진군 강진읍 지전로 515,육류 도축업(가금류 제외) 외 1종,2025-09-08
개별입지,삼덕영어조합법인,전라남도 강진군 대구면 백사1길 9,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,삼선식품,전라남도 강진군 마량면 삼마로 12,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,삼양제재소,전라남도 강진군 군동면 호계리 886번지,일반 제재업,2025-09-08
개별입지,삼풍산업,전라남도 강진군 병영면 성남길 7,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,선일상사,전라남도 강진군 군동면 석교로 17,기타채소가공및저장처리업,2025-09-08
강진칠량농공단지,선일수산,전라남도 강진군 칠량면 송로리 1179-2번지,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,성일수산,전라남도 강진군 마량면 마량5길 23,수산 기타,2025-09-08
강진환경산업단지,승헌실업(주)강진공장,전라남도 강진군 성전면 강진산단로2길 98,"동 제련, 정련 및 합금 제조업 외 1종",2025-09-08
개별입지,애민영농조합법인,전라남도 강진군 성전면 도림로 363-9,곡물 제분업,2025-09-08
강진칠량농공단지,어업회사법인 (주)해초,전라남도 강진군 칠량면 송로리 1177-2번지,수산식물 가공 및 저장 처리업,2025-09-08
강진마량농공단지,어업회사법인 바다손애 주식회사,전라남도 강진군 마량면 마량공단길 11-7,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,어업회사법인 바다손애주식회사,전라남도 강진군 마량면 마량공단길 11-7,수산식물 가공 및 저장 처리업,2025-09-08
강진칠량농공단지,어업회사법인(주)예원,전라남도 강진군 칠량면 청자로 656-44,수산식물 가공 및 저장 처리업,2025-09-08
강진칠량농공단지,어업회사법인대원식품(주),전라남도 강진군 칠량면 송로리 1174-4번지,수산식물 가공 및 저장 처리업,2025-09-08
강진칠량농공단지,어업회사법인무진수산(유),전라남도 강진군 칠량면 청자로 656-10,수산식물 가공 및 저장 처리업,2025-09-08
