기간,품목명,국가명,수출중량(톤),수출금액(천불),수입중량(톤),수입금액(천불)
2022,아연,대만,0,0,0,0
2022,아연,라오스,0,0,671,763
2022,아연,러시아연방,0,0,14574,22505
2022,아연,마케도니아,,,,
2022,아연,말레이시아,0,0,39,25
2022,아연,멕시코,0,0,257595,434390
2022,아연,모로코,0,0,362,614
2022,아연,몬테네그로,0,0,1199,1990
2022,아연,미국,0,0,255875,341709
2022,아연,방글라데시,0,0,267,342
2022,아연,베트남,0,0,2197,3451
2022,아연,벨기에,0,0,0,0
2022,아연,볼리비아,0,0,245998,385585
2022,아연,브라질,0,0,3780,4859
2022,아연,사우디아라비아,0,0,9481,11146
2022,아연,세르비아,0,0,4326,6425
2022,아연,스페인,0,0,6035,6633
2022,아연,UAE,,,,
2022,아연,아르헨티나,0,0,7310,11928
2022,아연,알바니아,0,0,11202,3829
2022,아연,에리트리아,0,0,56953,84824
2022,아연,영국,,,,
2022,아연,온두라스,0,0,19498,23481
2022,아연,인도,0,0,22530,3023
2022,아연,인도네시아,0,0,2572,4587
2022,아연,일본,2200,4389,0,0
2022,아연,중국,1350,1840,0,0
2022,아연,칠레,,,,
2022,아연,캐나다,0,0,54686,87643
2022,아연,태국,0,0,1238,1508
2022,아연,튀르키예,0,0,6541,9110
2022,아연,파키스탄,0,0,1850,2390
2022,아연,페루,0,0,220568,316915
2022,아연,프랑스,0,0,0,0
2022,아연,필리핀,0,0,0,0
2022,아연,호주,15848,31277,478134,581253
2021,철,남아프리카공화국,0,0,4506163,918746
2021,철,네덜란드,0,0,90,40
2021,철,독일,0,0,0,1
2021,철,러시아연방,,,,
2021,철,모리타니,0,0,0,1
2021,철,미국,0,0,0,3
2021,철,바레인,0,0,336321,84519
2021,철,베트남,1,0,0,0
2021,철,볼리비아,0,0,0,0
2021,철,브라질,0,0,8455746,1547005
2021,철,스웨덴,0,0,6,5
2021,철,스페인,,,,
2021,철,싱가포르,,,,
2021,철,영국,0,0,0,0
2021,철,오만,,,,
2021,철,우루과이,0,0,0,8
2021,철,우크라이나,0,0,55189,12414
2021,철,이탈리아,0,3,0,0
2021,철,인도,0,0,903139,187526
2021,철,인도네시아,6,3,0,0
2021,철,일본,0,0,0,1
2021,철,중국,302511,17432,32704,9908
2021,철,칠레,0,0,599128,118742
2021,철,캐나다,0,0,3912920,678680
2021,철,태국,,,,
2021,철,프랑스,0,0,0,0
2021,철,필리핀,0,0,13,1
2021,철,호주,0,0,55285371,8517308
2022,철,남아프리카공화국,0,0,4574715,743878
2022,철,네덜란드,0,0,120,50
2022,철,독일,0,0,0,0
2022,철,러시아연방,0,0,77899,16742
2022,철,모리타니,0,0,0,2
2022,철,미국,0,0,0,0
2022,철,바레인,0,0,507538,118515
2022,철,베트남,,,,
2022,철,볼리비아,,,,
2022,철,브라질,0,0,8908151,1486113
2022,철,스웨덴,,,,
2022,철,스페인,0,0,0,0
2022,철,싱가포르,0,0,19,3
2022,철,영국,0,0,0,0
2022,철,오만,0,0,0,0
2022,철,우루과이,0,0,0,8
2022,철,우크라이나,0,0,0,0
2022,철,이탈리아,,,,
2022,철,인도,0,0,69041,14710
2022,철,인도네시아,,,,
2022,철,일본,,,,
2022,철,중국,275074,14312,69293,12071
2022,철,칠레,0,0,1372525,312927
2022,철,캐나다,0,0,4672374,702156
2022,철,태국,0,0,0,1
2022,철,프랑스,0,0,1,8
2022,철,필리핀,0,0,0,0
2022,철,호주,0,0,46170991,5513266
2021,알루미늄,네덜란드,0,0,48,42
2021,알루미늄,미국,0,0,0,0
2021,알루미늄,브라질,0,0,0,0
2021,알루미늄,싱가포르,0,0,0,0
2021,알루미늄,인도,0,0,2334,279
2021,알루미늄,인도네시아,116,14,0,0
2021,알루미늄,일본,0,0,0,0
2021,알루미늄,중국,40,31,25910,9858
2021,알루미늄,파키스탄,,,,
2021,알루미늄,프랑스,0,0,0,0
2021,알루미늄,호주,0,0,396248,22947
2021,알루미늄,홍콩,,,,
2022,알루미늄,네덜란드,0,0,0,0
2022,알루미늄,미국,0,0,0,0
2022,알루미늄,브라질,,,,
2022,알루미늄,싱가포르,,,,
2022,알루미늄,인도,0,0,220,31
2022,알루미늄,인도네시아,478,46,0,0
2022,알루미늄,일본,,,,
2022,알루미늄,중국,0,0,21591,9108
2022,알루미늄,파키스탄,0,0,0,0
2022,알루미늄,프랑스,,,,
2022,알루미늄,호주,0,0,395951,24011
2022,알루미늄,홍콩,0,0,0,0
2021,텅스텐,네덜란드,,,,
2021,텅스텐,르완다,,,,
2021,텅스텐,미국,0,0,0,0
2021,텅스텐,베트남,7,83,0,0
2021,텅스텐,싱가포르,0,0,0,3
2021,텅스텐,일본,0,1,0,0
2021,텅스텐,중국,0,0,1,57
2021,텅스텐,포루투갈,1,0,0,1
2022,텅스텐,네덜란드,0,0,0,1
2022,텅스텐,르완다,0,0,0,0
2022,텅스텐,미국,0,0,0,0
2022,텅스텐,베트남,1225,3558,0,0
2022,텅스텐,싱가포르,,,,
2022,텅스텐,일본,0,0,39,557
2022,텅스텐,중국,0,0,1,49
2022,텅스텐,포루투갈,16,1,0,0
2021,몰리브덴,네덜란드,140,3197,0,2
2021,몰리브덴,대만,476,8808,37,514
2021,몰리브덴,독일,0,0,0,5
2021,몰리브덴,말레이시아,,,,
2021,몰리브덴,멕시코,0,0,9365,164292
2021,몰리브덴,몽골,0,0,661,9428
2021,몰리브덴,미국,0,0,2211,38585
2021,몰리브덴,베트남,5037,7055,1613,30675
2021,몰리브덴,벨기에,0,0,920,17513
2021,몰리브덴,UAE,,,,
2021,몰리브덴,아르메니아,0,0,1074,16828
2021,몰리브덴,아르헨티나,0,0,653,9613
