보고서종류,작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
기술조사,1982,등록제53966호(납석)광산기술조사보고서,등록제53966호,납석,경상북도청도군운문면방음리,,82의-002
기술조사,1982,동양형석(형석)광산기술조사보고서,동양형석,형석,"경상북도문경시동로면,충청북도단양군단양읍",단양_139,82의-001
물리탐사,1982,대룡(철)광산물리탐사보고서,대룡,"금,기타,은,텅스텐","대구광역시달성군옥포면,대구광역시달성군화원읍",경산_144,82물-013
물리탐사,1982,"광성(금,은,동)광산물리탐사보고서",광성,"금,동,은",경상남도고성군삼산면,충무_143,82물-012
물리탐사,1982,"오월(금,은)광산물리탐사보고서",오월,"금,동,연,은",강원도춘천시서면오월리,춘천_063,82물-011
물리탐사,1982,"세원(금,은)광산물리탐사보고서",세원,"금,은",경상북도고령군운수면,,82물-010
물리탐사,1982,"은포(금,은)광산물리탐사보고서",은포,"규석,금,아연,연,은","경상북도성주군성주읍,경상북도성주군용암면",,82물-009
물리탐사,1982,울산(철)광산물리탐사보고서,울산철,"철,텅스텐",울산광역시울주군,울산_103,82물-008
물리탐사,1982,"유천(금,은)광산물리탐사보고서",유천,"금,동,망간,아연,연,은,철","경상남도밀양시상동면,경상북도청도군청도읍",,82물-007
물리탐사,1982,"성원(금,은)광산물리탐사보고서",성원,"금,동,아연,연,은,철",경상북도성주군선남면,왜관_085,82물-006
물리탐사,1982,"대룡(은,동)광산물리탐사보고서",대룡,"금,동,아연,연,은",경상북도성주군선남면오도리,,82물-005
물리탐사,1982,"대경(금,은)광산물리탐사보고서",대경,"금,동,연,은",경상북도성주군선남면취곡리,왜관_107,82물-004
물리탐사,1982,"풍문(연,아연)광산물리탐사보고서",풍문,"동,아연,연,은",강원도삼척시원덕읍,,82물-003
물리탐사,1982,"금실(금,은,동)광산물리탐사보고서",금실,"금,동,망간,아연,연,은","충청북도제천시수산면,충청북도제천시청풍면","황강리_033,황강리_043",82물-002
물리탐사,1982,삼율소보(휘수연)광산물리탐사보고서,삼율소보,휘수연,경상북도울진군후포면삼율리,,82물-001
기술조사,1982,유창석(주석)광산기술조사보고서,유창석,골재,경상북도울진군서면,"현동_026,현동_027,현동_037",82의-017
기술조사,1982,충주삼당(중석)광산기술조사보고서,충주삼당,"금,은,텅스텐",충청북도충주시신니면화안리,"음성_002,음성_012",82의-015
기술조사,1982,천대(중석)광산기술조사보고서,천대,"금,몰리브덴,연,은,텅스텐",강원도영월군수주면법흥리,,82의-014
기술조사,1982,"일보(금,은,동)광산기술조사보고서",일보,"금,동,아연,연,은",충청남도천안시서북구입장면,,82의-013
기술조사,1982,"율모(금,은,동)광산기술조사보고서",율모,"금,동,몰리브덴,연,은,텅스텐",충청북도괴산군칠성면사은리,괴산_087,82의-012
기술조사,1982,"여항(금,은,동)광산기술조사보고서",여항,"금,동,아연,연,은,코발트","경상남도함안군가야읍,경상남도함안군함안면",의령_056,82의-011
