소재지,지번, 면적 ,연간생산량,허가 기간,수허가자 상호,사무실 연락처,기준일자
경상북도 칠곡군 석적읍 포남리,경상북도 칠곡군 석적읍 포남리 1495-3 외 5필,3054,150000,2018-06-12,㈜무영,054-975-5733,2025-09-25
경상북도 칠곡군 가산면 학산리,경상북도 칠곡군 가산면 학산리 898 외 6필,15311,220000,2023-03-09,㈜영진레미콘,053-326-2002,2025-09-25
경상북도 칠곡군 석적읍 포남리,경상북도 칠곡군 석적읍 포남리 1185-3 외 3필,4242,134400,2019-05-02,㈜회성토건,054-973-2704,2025-09-25
경상북도 칠곡군 약목면 복성리,경상북도 칠곡군 약목면 복성리 1166-40,3135,246000,2024-04-29,㈜세아산업,054-975-0023,2025-09-25
경상북도 칠곡군 기산면 평복리,경상북도 칠곡군 북삼읍 인평리 208 외 6필,7420,14431,2024-12-19,㈜가람,054-0000-0000,2025-09-25
경상북도 칠곡군 기산면 봉산리,경상북도 칠곡군 중지리 산35 외 7필,95275,1800061,2017-01-24,당우건설㈜,054-971-8036,2025-09-25
