작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
1994,"음성(금,은)지구 정밀조사보고서",(음성지구),"금,은","충청북도 음성군 금왕면 무극리,충청북도 음성군 금왕면 봉곡리,충청북도 음성군 금왕면 용계리","음성_091,음성_092,음성_093,음성_103",94정-004
1994,"사천(금,은)지구 정밀조사보고서",(사천지구),"금,동,은","경상남도 사천시 사남면 우천리,경상남도 사천시 사남면 종천리,경상남도 사천시 정동면 소곡리","사천_060,사천_069,사천_070",94정-003
1994,서벽(철)지구 정밀조사보고서,(서벽지구),철,"강원도 영월군 상동면 ,강원도 태백시 소도동 ","서벽_062,서벽_063,서벽_072,서벽_083",94정-002
1994,예미(철)지구 정밀조사보고서,(예미지구),철,강원도 정선군 신동면 ,"예미_049,예미_059",94정-001
1993,삼척(석탄)광산 정밀조사보고서,삼척탄전(철암지구),석탄,"강원도 태백시 동점동 ,강원도 태백시 철암동 ",,93정-002
1993,경동(석탄)광산 정밀조사보고서,경동탄광,석탄,강원도 삼척시 도계읍 ,"고사리_086,고사리_087,고사리_090,고사리_099,고사리_100,고사리_106,고사리_107,고사리_108,고사리_109,고사리_110,고사리_120",93정-001
1993,"노화,부곡(납석)지구  정밀조사보고서","광명,노화,부곡갱도작업장,성산노천작업장,완도,충도",납석,전라남도 완도군 노화읍 ,"노화도_088,노화도_089,노화도_097,노화도_098,노화도_098,노화도_099,노화도_108,우수영_057,우수영_058,우수영_067,우수영_068",93정-015
1993,해남(납석)지구 정밀조사보고서,(해남지구),납석,전라남도 해남군 황산면 ,"우수영_057,우수영_058,우수영_067,우수영_068",93정-014
1993,연일(불석)지구 정밀조사보고서,삼양(연일지구),불석,"경상북도 영일군 구룡포읍 ,경상북도 영일군 동해면 ","대보_110,대보_111,대보_120,대보_121,대보_130,대보_139,대보_140",93정-013
1993,산청(고령토)지구 정밀조사보고서,"대명(산청지구),대산(산청지구),삼양(산청지구)",고령토,"경상남도 산청군 금서면 ,경상남도 산청군 산청면 ","산청_084,산청_094,산청_095,산청_096,산청_103,산청_104",93정-012
1993,영동(장석)지구 정밀조사보고서,(부여지구),장석,"충청북도 옥천군 청산면 ,충청북도 옥천군 청성면 ","부여_056,부여_057,부여_067,청산_131,청산_132,청산_140",93정-011
1993,부여(장석)지구 정밀조사보고서,"(부여,영동지구)",장석,"충청남도 부여군 임천면 ,충청남도 부여군 장암면 ","부여_056,부여_057,부여_067,영동_131,영동_132,청산_140",93정-010
1993,영풍(장석)지구 정밀조사보고서,(영풍지구),장석,"경상북도 영풍군 단산면 ,경상북도 영풍군 부석면 ","옥동_059,옥동_060,옥동_069,옥동_070",93정-009
1993,노화(납석)지구 정밀조사보고서,"광명(노화지구),노화,완도",납석,전라남도 완도군 노화면 ,"노화도_088,노화도_097,노화도_098,노화도_108",93정-007
1993,유구(활석)지구 정밀조사보고서,(유구지구),활석,충청남도 공주시 유구읍 ,"대흥_046,대흥_047,대흥_057,대흥_058",93정-006
1993,유구(활석)지구 정밀조사보고서,(유구지구),활석,충청남도 예산군 신양면 ,"대흥_044,대흥_054,대흥_064",93정-005
1993,영춘(석회석)지구 정밀조사보고서,(영춘지구),석회석,"강원도 영월군 남면 ,충청북도 제천시 송학면 ","영월_130,영월_140,영춘_121,영춘_122,영춘_131",93정-004
1993,정선(석회석)지구 정밀조사보고서,(정선지구),석회석,"강원도 정선군 남면 ,강원도 정선군 화암면 ","예미_001,예미_002,예미_011,정선_010,호명_142",93정-003
1993,임계(석회석)지구 정밀조사보고서,(임계지구),석회석,"강원도 삼척시 하장면 장전리,강원도 삼척시 하장면 추동리","임계_041,임계_050,임계_051,임계_060,임계_061",93정-002
1993,삼척(석회석)지구 정밀조사보고서,(삼척지구),석회석,"강원도 삼척시 근덕면 교곡리,강원도 삼척시 노곡면 고자리,강원도 삼척시 노곡면 상군천리,강원도 삼척시 노곡면 상반천리,강원도 삼척시 노곡면 상월산리","고사리_051,고사리_061,고사리_071,고사리_081,삼척_039,삼척_049,삼척_050,삼척_059,삼척_060,삼척_070",93정-001
1993,"학산(금,은)광산 정밀조사보고서",학산,"금,은",충청북도 영동군 학산면 ,,93정-006
1993,"봉화(연,아연)지구 정밀조사보고서","금호,산막,연화,은점,태양","아연,연","강원도 삼척시 가곡면 ,강원도 태백시  ,경상북도 봉화군 석포면 ,경상북도 봉화군 소천면 ,경상북도 봉화군 재산면 ,경상북도 영양군 일월면 ,경상북도 영양군 청기면 ","도계동_101,도계동_111,현동_099,현동_100,현동_109,현동_110,현동_119,현동_120,현동_130",93정-005
1993,동진(주석)지구 정밀조사보고서,(동진지구),주석,경상북도 울진군 서면 ,"현동_006,현동_007,현동_016,현동_017,현동_025,현동_026,현동_027,현동_035,현동_036,현동_037,현동_046,현동_047,현동_057",93정-004
1993,신예미(철)지구 정밀조사보고서,(신예미지구),철,"강원도 영월군 중동면 ,강원도 정선군 신동면 ","예미_049,예미_059,옥동_031,옥동_041,옥동_061",93정-003
1993,연평(티탄철)지구 정밀조사보고서,(연평지구),"철,티탄철",경기도 옹진군 송림면 소연평리,"대연평도_014,대연평도_014,대연평도_024",93정-002
1993,연천(티탄철)지구 정밀조사보고서,(연천지구),티탄철,"경기도 포천시 관인면 ,경기도 포천시 영북면 ","연천_003,연천_004,연천_014,연천_015,연천_016",93정-001
1992,보은탄전청성(석탄)지구정밀조사보고서,보은탄전(청성지구),석탄,충청북도 옥천군 청성면 ,,92정-001
1992,경주(벤토나이트)지구 정밀조사보고서,"송전,태령",고령토,경상북도 경주시 양남면 ,"감포_056,감포_066",92정-007
1992,영일(규조토)지역 정밀조사보고서,"대왕(영일지구),영일,월포(영일지구),포항93(영일지구)",규조토,경상북도 영일군 청하면 ,"청하_070,청하_080,청하_090,포항_092,포항_093",92정-006
1992,하동(고령토)지구 정밀조사보고서,하동고령토광,고령토,경상남도 하동군 옥종면 ,"단성_060,단성_070,진교_061",92정-005
1992,장계(장석)지역 정밀조사보고서,장석광,장석,"경상남도 함양군 서상면 상남리,전라북도 장수군 계내면 명덕리","장계_046,장계_048,장계_056,장계_057,장계_058",92정-004
1992,밀양(납석)지구 정밀조사보고서,삼성,납석,"경상북도 청도군 금천면 ,경상북도 청도군 운문면 ","유천_031,자인_030,자인_040,자인_050,자인_060",92정-003
1992,"청송(도석,납석)지구 정밀조사보고서","삼화청송,이현,청송","고령토,납석","경상북도 청송군 부남면 ,경상북도 청송군 부동면 ","도평_014,도평_024,도평_050,도평_051,도평_052,도평_072",92정-002
1992,대흥(활석)지구 정밀조사보고서,(대흥지구),활석,"충청남도 공주시 신풍면 ,충청남도 예산군 신양면 ,충청남도 청양군 운곡면 ","대흥_067,대흥_068,대흥_069,대흥_077,대흥_078",92정-001
1992,"충청(금,은)광산 정밀조사보고서",충청,"금,동,아연,은",충청북도 청원군 현도면 죽암리,청주_039,92정-032
1992,"청일(금,은)광산 정밀조사보고서",청일,"금,은","강원도 횡성군 청일면 ,강원도 횡성군 청일면 춘당리","갑천_074,갑천_084",92정-031
1992,"청양(금,은)광산 정밀조사보고서",청양,"금,동,연,은",충청남도 청양군 적곡면 관현리,"청양_080,청양_090",92정-030
1992,"천록(금,은)광산 정밀조사보고서",천록,"금,은","강원도 철원군 갈말면 ,강원도 철원군 서면 ",지포리_072,92정-029
1992,"천흥(금,은)광산 정밀조사보고서",천흥,"금,동,연,은",충청북도 영동군 양강면 ,설천_124,92정-028
1992,"창촌(금,은)광산 정밀조사보고서",창촌,"금,은",강원도 평창군 용평면 ,,92정-027
1992,"창곡(금,은)광산 정밀조사보고서",창곡,"금,은",충청북도 영동군 용화면 ,설천_149,92정-026
1992,"조양(금,은)광산 정밀조사보고서",조양,"금,은",충청북도 괴산군 청안면 ,"증평_043,증평_053",92정-025
1992,"제일(금,은)광산 정밀조사보고서",제일,"금,은",충청남도 공주시 계룡면 ,"공주_035,공주_036,공주_045,공주_046",92정-024
1992,"일산(금,은)광산 정밀조사보고서",일산,"금,아연,연,은",경기도 파주시 광탄면 분수리,고양_075,92정-023
1992,"유천(금,은)광산 정밀조사보고서",유천,"금,동,아연,연,운모,은,창연",경상북도 영일군 청하면 유계리,청하_128,92정-022
1992,"용화(금,은)광산 정밀조사보고서",용화,"금,은",충청북도 영동군 용화면 ,"설천_139,설천_149",92정-021
1992,"용평(금,은)광산 정밀조사보고서",용평,"금,은",경기도 양평군 청운면 ,양덕원_148,92정-020
1992,"영보가리(금,은)광산 정밀조사보고서",영보가리,"금,아연,연,은",충청북도 영동군 영동읍 ,"설천_071,영동_080,영동_090",92정-019
1992,"성거(금,은)광산 정밀조사보고서",성거,"금,은",충청남도 천안시 서북구 성거읍 오목리,"평택_017,평택_018",92정-018
1992,"석성(금,은)광산 정밀조사보고서",석성,"금,동,아연,연,은",충청남도 부여군 석성면 현내리,"부여_016,부여_017",92정-017
1992,"서산(금,은)광산 정밀조사보고서",서산,"금,동,연,은","충청북도 영동군 학산면 도덕리,충청북도 옥천군  ",무주_026,92정-016
1992,"삼황학(금,은)광산 정밀조사보고서",삼황학,"금,은","충청북도 영동군 상촌면 ,충청북도 옥천군  ",설천_034,92정-015
1992,"봉화(금,은)광산 정밀조사보고서",봉화,"금,동,연,은",충청남도 공주시 탄천면 삼각리,"공주_130,논산_121",92정-014
1992,"두양(금,은)광산 정밀조사보고서",두양,"금,은",경상북도 영천시 고경면 오룡리,기계_090,92정-013
1992,"동명(금,은)광산 정밀조사보고서",동명,"금,은","강원도 정선군 북면 ,강원도 정선군 북평면 ","하진부_070,하진부_080",92정-012
1992,"대금(금,은)광산 정밀조사보고서",대금,"금,동,망간,연,은,철",경상남도 밀양시 상동면 ,,92정-011
1992,"남이금(금,은)광산 정밀조사보고서",남이금,"금,동,연,은",충청북도 청원군 남이면 사동리,청주_057,92정-010
