공간정보일련번호,광물자원광업권개정일자,위치명,지적도명,광물자원명,광물자원부존면적,연안관리정보번호,이용기간내용,항목번호
124,1967-11-25,"경북 울진군 원남면, 경북 울진군 기성면",울진,석회석,275,58,2012-11-01~2032-10-31,울진58
141,2008-06-17,경북 울진군 평해읍,평해,규사,116,17,2011-11-01~2018-10-31,평해17
186,2009-11-26,인천광역시 옹진군 북도면,온수리,규석,55,117,2009-11-27~2029-11-26,온수리117
125,1994-07-19,"경북 포항시 북구 흥해읍, 경북 포항시",포항,"고령토, 규조토",118,55,1994-07-20~2019-06-30,포항55
126,2007-03-22,"경북 포항시 남구 구룡포읍, 경북 포항시 남구 장기면",구룡포,불석,139,134,2007-03-23~2027-03-22,구룡포134
127,1972-07-22,경북 포항시 남구 동해면,포항,고령토,276,30,1997-07-23~2017-06-30,포항30
128,1970-03-30,경북 포항시 구룡포읍,대보,"고령토, 불석",278,110,2005-03-31~2025-03-30,대보110
129,1970-04-13,경북 포항시 구룡포읍,구룡포,"고령토, 불석",278,111,2005-04-01~2025-03-31,구룡포111
130,1993-11-08,"경북 울진군, 강원 삼척군 원덕읍",죽변,규사,223,81,2014-11-01~2021-10-31,죽변81
131,1991-07-30,경북 울진군 후포면,평해,규사,17,30,2012-06-01~2019-05-31,평해30
132,1992-06-10,"경북 울진군 후포면, 경북 울진군 평해읍",평해,규사,69,29,2013-06-01~2020-05-31,평해29
133,1999-11-29,경북 울진군 후포면,평해,규사,275,20,2013-11-30~2020-11-29,평해20
134,1983-10-05,경북 울진군 평해읍,평해,규사,52,30,2011-10-01~2018-09-30,평해30
135,1991-06-19,"경북 울진군 평해읍, 경북 울진군 후포면",평해,규사,275,19,2012-06-01~2019-05-31,평해19
136,1992-02-26,"경북 울진군 북면, 강원 삼척군 원덕읍",죽변,규사,274,72,2013-02-01~2020-01-31,죽변72
138,1992-02-26,"경북 울진군 북면, 강원 삼척군 원덕읍",죽변,규사,137,82,2013-02-01~2020-01-31,죽변82
139,2007-04-10,"경북 울진군 북면, 경북 울진군 죽변면",죽변,규사,47,56,2014-04-11~2019-04-10,죽변56
140,2007-04-10,경북 울진군 북면,죽변,규사,12,66,2014-04-11~2019-04-10,죽변66
142,2003-12-02,"경북 울진군 평해읍, 경북 울진군 기성면",평해,규사,124,16,2010-12-03~2017-12-02,평해16
143,1969-12-22,경북 울진군 평해면,평해,석회석,275,19,2014-12-23~2034-12-22,평해19
144,1978-08-19,경북 울진군 평해면,평해,규사,275,18,2013-08-01~2020-07-31,평해18
145,1980-07-24,"경북 울진군 원남면, 경북 울진군 근남면",울진,규사,275,56,2013-07-01~2020-06-30,울진56
146,1980-05-16,"경북 울진군 근남면, 경북 울진군 원남면",울진,규사,275,46,2013-05-01~2020-04-30,울진46
147,2003-12-02,경북 울진군 기성면,평해,규사,60,15,2010-12-03~2017-12-02,평해15
148,2002-05-27,경북 울진군 기성면,평해,규사,232,21,2016-05-28~2036-05-27,평해21
149,2000-09-14,경북 울진군 기성면,평해,규사,240,22,2014-09-15~2021-09-14,평해22
150,1977-04-27,경북 울진군 기성면,평해,규사,275,23,2012-04-01~2019-03-31,평해23
151,1970-03-27,경북 울진군 기성면,평해,규사,275,31,2016-03-28~2036-03-27,평해31
152,2008-10-06,경북 경주시 양남면,울산,고령토,139,31,2008-10-07~2028-10-06,울산31
153,1978-12-16,경북 울진군 기성면,평해,규사,275,14,2011-12-01~2018-11-30,평해14
154,1987-11-23,강원 동해시,묵호,고령토,221,105,2012-11-01~2032-10-31,묵호105
155,1986-07-04,"강원 동해시, 강원 명주군 옥계면",묵호,고령토,13,104,2011-07-01~2031-06-30,묵호104
156,1961-01-09,"강원 강릉시 주문진읍, 강원 양양군 현남면",주문진,규사,271,116,2014-01-01~2020-12-31,주문진116
157,1994-07-19,강원 강릉시 옥계면,묵호,"고령토, 규석",68,122,1994-07-20~2019-06-30,묵호122
158,1994-05-10,강원 강릉시 옥계면,묵호,고령토,51,123,1994-05-11~2019-04-30,묵호123
159,1989-05-09,"강원 삼척군, 강원 동해시",삼척,석회석,171,52,2014-05-01~2034-04-30,삼척52
160,1986-02-19,강원 양양군 현남면,주문진,규사,68,125,2014-02-01~2021-01-31,주문진125
