공간정보일련번호,광물자원광업권개정일자,위치명,지적도명,광물자원명,광물자원부존면적,연안관리정보번호,이용기간내용,항목번호
42,2011-03-24,"전남 함평군 함평읍, 무안군 현경면",망운,고령토,122,26,2011-03-25~2031-03-24,망운26
43,2010-10-08,"전남 무안군 해제면, 신안군 지도읍",망운,고령토,281,147,2010-10-09~2030-10-08,망운147
44,2011-03-24,"전남 함평군 함평읍, 손불면",망운,고령토,140,25,2011-03-25~2031-03-24,망운25
45,2011-06-03,"전남 광양시 광양읍, 광양시",광양,"금,은",282,85,2011-06-04~2031-06-03,광양85
46,2011-07-19,전남 광양시 광양읍,광양,"금,은",281,84,2011-07-20~2031-07-19,광양84
47,2011-07-26,"전남 광양시, 광양시, 광양읍",광양,"금,은",271,75,2011-07-27~2018-07-26,광양75
48,2011-08-05,전남 해남군 화원면,우수영,"금,은",172,141,2011-08-06~2031-08-05,우수영141
49,2010-10-08,전남 무안군 현경면,망운,고령토,74,86,2010-10-09~2030-10-08,망운86
50,2010-10-08,전남 무안군 현경면,망운,고령토,201,67,2010-10-09~2030-10-08,망운67
51,2011-08-12,강원도 동해시,묵호,석회석,204,105,2011-08-13~2031-08-12,묵호105
52,2011-06-01,인천광역시 강화군 화도면,온수리,장석,136,64,2011-06-02~2031-06-01,온수리64
53,2011-06-01,인천광역시 강화군 화도면,온수리,장석,68,73,2011-06-02~2031-06-01,온수리73
54,2011-06-01,인천광역시 강화군 화도면,온수리,장석,136,74,2011-06-02~2031-06-01,온수리74
55,2002-06-11,인천광역시 옹진군 북도면,온수리,"사금, 티탄철",272,116,2014-06-12~2019-06-11,온수리116
56,2011-01-24,"충청남도 태안군 원북면, 이원면",서산,규석,158,121,2011-01-25~2031-01-24,서산121
57,2010-10-11,"충청남도 태안군 원북면, 이원면",서산,규석,47,121,2010-10-12~2030-10-11,서산121
58,2011-04-13,"충청남도 태안군 원북면, 이원면",서산,규석,107,111,2011-04-14~2031-04-13,서산111
59,2011-07-12,충남 서산시 대산읍,대산,고령토,68,72,2011-07-13~2031-07-12,대산72
60,1974-07-27,부산시 강서구,가덕,"납석, 고령토",185,98,1999-07-28~2019-07-27,가덕98
61,2005-06-29,경남 진해시,가덕,고령토,100,125,2005-06-30~2025-06-29,가덕125
62,1989-03-29,경남 진해시,진해,"고령토, 납석",268,15,2014-03-01~2034-02-28,진해15
63,1976-02-25,전남 해남군 황산면,우수영,"고령토, 금, 은",265,67,2011-02-26~2031-02-25,우수영67
64,1974-06-25,전남 해남군 황산면,우수영,"고령토, 납석",259,57,1999-06-26~2019-06-25,우수영57
