공간정보일련번호,지적도명,채굴단위구역등록일자,면적내용,탐사권기간설명내용,광물유형명
507,임원진,2016-10-11,123 ha,2010-09-02 ~ 2030-09-01 만 20개년,장석
136,기좌도,2016-07-14,282 ha,2016-10-01 ~ 2026-09-30 만 10개년,규사
137,목포,2016-07-14,282 ha,2016-10-01 ~ 2026-09-30 만 10개년,규사
139,목포,2016-07-11,282 ha,2016-07-12 ~ 2036-07-11 만 20개년,아연광
293,구룡포,2016-07-22,69 ha,2016-07-23 ~ 2036-07-22 만 20개년,불석
295,구룡포,2016-07-11,69 ha,2016-07-12 ~ 2036-07-11 만 20개년,불석
93,노화도,2013-11-04,284 ha,2014-04-01 ~ 2034-03-31 만 20개년,"고령토, 납석"
197,망운,2015-10-12,193 ha,2016-01-10 ~ 2026-01-09 만 10개년,규사
198,망운,2015-10-12,57 ha,2016-01-10 ~ 2026-01-09 만 10개년,규사
379,안면도,2015-10-19,240 ha,2016-02-01 ~ 2036-01-31 만 20개년,규사
27,구룡포,2017-11-21,67 ha,2017-11-22 ~ 2037-11-21 만 20개년,불석
154,거제,2017-11-03,206 ha,2017-11-04 ~ 2037-11-03 만 20개년,"금광, 은광, 동광, 연광, 아연광"
161,거제,2017-11-03,272 ha,2017-11-04 ~ 2037-11-03 만 20개년,"금광, 은광, 동광, 연광, 아연광"
303,구룡포,2017-11-21,69 ha,2017-11-22 ~ 2037-11-21 만 20개년,불석
387,안면도,2017-11-30,276 ha,2018-02-21 ~ 2028-02-20 만 10개년,사철
420,평해,2014-05-09,240 ha,2014-09-15 ~ 2021-09-14 만 7개년,규사
504,죽변,2014-05-21,223 ha,2014-11-01 ~ 2021-10-31 만 7개년,규사
99,노화도,2011-05-18,284 ha,2011-11-01 ~ 2031-10-31 만 20개년,고령토
400,모항,2011-10-12,103 ha,2008-06-05 ~ 2028-06-04 만 20개년,규석
